"","Well","tx","conc","plate","Time","Tx_over_T0","cell_line"
"1","B2","CX","2.5","p1","T0",100,"87"
"2","B2","CX","2.5","p1","T3",83.8984776047561,"87"
"3","B2","CX","2.5","p1","T24",NA,"87"
"4","B2","CX","2.5","p1","T48",NA,"87"
"5","B2","CX","2.5","p1","T96",NA,"87"
"6","B2","CX","2.5","p2","T0",100,"87"
"7","B2","CX","2.5","p2","T3",NA,"87"
"8","B2","CX","2.5","p2","T24",79.9969178433767,"87"
"9","B2","CX","2.5","p2","T48",NA,"87"
"10","B2","CX","2.5","p2","T96",NA,"87"
"11","B2","CX","2.5","p3","T0",100,"87"
"12","B2","CX","2.5","p3","T3",NA,"87"
"13","B2","CX","2.5","p3","T24",NA,"87"
"14","B2","CX","2.5","p3","T48",95.4125927560643,"87"
"15","B2","CX","2.5","p3","T96",NA,"87"
"16","B2","CX","2.5","p4","T0",100,"87"
"17","B2","CX","2.5","p4","T3",NA,"87"
"18","B2","CX","2.5","p4","T24",NA,"87"
"19","B2","CX","2.5","p4","T48",NA,"87"
"20","B2","CX","2.5","p4","T96",69.6738893568589,"87"
"21","B3","CX","0.5","p1","T0",100,"87"
"22","B3","CX","0.5","p1","T3",93.1351469290864,"87"
"23","B3","CX","0.5","p1","T24",NA,"87"
"24","B3","CX","0.5","p1","T48",NA,"87"
"25","B3","CX","0.5","p1","T96",NA,"87"
"26","B3","CX","0.5","p2","T0",100,"87"
"27","B3","CX","0.5","p2","T3",NA,"87"
"28","B3","CX","0.5","p2","T24",74.0836536138223,"87"
"29","B3","CX","0.5","p2","T48",NA,"87"
"30","B3","CX","0.5","p2","T96",NA,"87"
"31","B3","CX","0.5","p3","T0",100,"87"
"32","B3","CX","0.5","p3","T3",NA,"87"
"33","B3","CX","0.5","p3","T24",NA,"87"
"34","B3","CX","0.5","p3","T48",86.8939261921331,"87"
"35","B3","CX","0.5","p3","T96",NA,"87"
"36","B3","CX","0.5","p4","T0",100,"87"
"37","B3","CX","0.5","p4","T3",NA,"87"
"38","B3","CX","0.5","p4","T24",NA,"87"
"39","B3","CX","0.5","p4","T48",NA,"87"
"40","B3","CX","0.5","p4","T96",73.250716549987,"87"
"41","B4","CX","0.1","p1","T0",100,"87"
"42","B4","CX","0.1","p1","T3",89.304934149299,"87"
"43","B4","CX","0.1","p1","T24",NA,"87"
"44","B4","CX","0.1","p1","T48",NA,"87"
"45","B4","CX","0.1","p1","T96",NA,"87"
"46","B4","CX","0.1","p2","T0",100,"87"
"47","B4","CX","0.1","p2","T3",NA,"87"
"48","B4","CX","0.1","p2","T24",81.7987871440695,"87"
"49","B4","CX","0.1","p2","T48",NA,"87"
"50","B4","CX","0.1","p2","T96",NA,"87"
"51","B4","CX","0.1","p3","T0",100,"87"
"52","B4","CX","0.1","p3","T3",NA,"87"
"53","B4","CX","0.1","p3","T24",NA,"87"
"54","B4","CX","0.1","p3","T48",96.748908461561,"87"
"55","B4","CX","0.1","p3","T96",NA,"87"
"56","B4","CX","0.1","p4","T0",100,"87"
"57","B4","CX","0.1","p4","T3",NA,"87"
"58","B4","CX","0.1","p4","T24",NA,"87"
"59","B4","CX","0.1","p4","T48",NA,"87"
"60","B4","CX","0.1","p4","T96",73.8748743988771,"87"
"61","B5","VEH","2.5","p1","T0",100,"87"
"62","B5","VEH","2.5","p1","T3",85.1929458086561,"87"
"63","B5","VEH","2.5","p1","T24",NA,"87"
"64","B5","VEH","2.5","p1","T48",NA,"87"
"65","B5","VEH","2.5","p1","T96",NA,"87"
"66","B5","VEH","2.5","p2","T0",100,"87"
"67","B5","VEH","2.5","p2","T3",NA,"87"
"68","B5","VEH","2.5","p2","T24",80.947749927648,"87"
"69","B5","VEH","2.5","p2","T48",NA,"87"
"70","B5","VEH","2.5","p2","T96",NA,"87"
"71","B5","VEH","2.5","p3","T0",100,"87"
"72","B5","VEH","2.5","p3","T3",NA,"87"
"73","B5","VEH","2.5","p3","T24",NA,"87"
"74","B5","VEH","2.5","p3","T48",106.686050124066,"87"
"75","B5","VEH","2.5","p3","T96",NA,"87"
"76","B5","VEH","2.5","p4","T0",100,"87"
"77","B5","VEH","2.5","p4","T3",NA,"87"
"78","B5","VEH","2.5","p4","T24",NA,"87"
"79","B5","VEH","2.5","p4","T48",NA,"87"
